+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                      ;
+----------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; MotorController|MOTOR_FR   ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_MR   ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_RR   ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_RL   ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_ML   ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_FL   ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_S_FR ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_S_RR ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_S_RL ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController|MOTOR_S_FL ; 12    ; 0              ; 9            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MotorController            ; 85    ; 0              ; 1            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_7  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_6  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_5  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_4  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_3  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_2  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_1  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController|US_0  ; 4     ; 8              ; 4            ; 8              ; 10     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UltrasonicController       ; 11    ; 0              ; 0            ; 0              ; 80     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SPISlave                   ; 416   ; 82             ; 416          ; 82             ; 84     ; 82              ; 82            ; 82              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SPIHost                    ; 4     ; 210            ; 4            ; 210            ; 220    ; 210             ; 210           ; 210             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; I2CSlave                   ; 414   ; 82             ; 414          ; 82             ; 83     ; 82              ; 82            ; 82              ; 1     ; 0              ; 1            ; 0                ; 1                 ;
; I2CHost                    ; 3     ; 2              ; 3            ; 2              ; 3      ; 2               ; 2             ; 2               ; 1     ; 0              ; 1            ; 0                ; 1                 ;
; UART0|UART0                ; 12    ; 11             ; 0            ; 11             ; 12     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; UART0                      ; 485   ; 2              ; 482          ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
